match_id,timestamp,total_turns,winner,winner_score,loser_score,score_margin,p1_name,p1_gold_spent,p1_tier1,p1_tier2,p1_tier3,p1_gem_white,p1_gem_blue,p1_gem_green,p1_gem_red,p1_gem_black,p2_name,p2_gold_spent,p2_tier1,p2_tier2,p2_tier3,p2_gem_white,p2_gem_blue,p2_gem_green,p2_gem_red,p2_gem_black
1,2026-04-22 14:18:58,54,BotA,16,7,9,BotA,0,16,3,0,6,0,2,0,6,BotB,0,14,3,0,2,6,1,4,4
2,2026-04-22 14:18:58,55,BotB,16,9,7,BotA,0,16,0,2,3,4,2,2,7,BotB,0,11,5,0,2,7,4,2,2
3,2026-04-22 14:18:58,61,BotB,16,10,6,BotA,0,14,5,0,2,7,5,4,1,BotB,0,14,4,1,2,4,7,4,1
4,2026-04-22 14:18:58,60,BotA,15,11,4,BotA,0,19,2,1,1,4,0,7,3,BotB,0,17,2,0,6,2,0,5,6
5,2026-04-22 14:18:58,63,BotB,19,16,3,BotA,0,16,6,0,0,7,4,4,3,BotB,0,12,6,0,1,7,5,5,5
6,2026-04-22 14:18:58,63,BotB,15,11,4,BotA,0,16,4,0,3,2,6,3,7,BotB,0,17,2,0,3,3,3,8,2
7,2026-04-22 14:18:58,58,BotA,17,8,9,BotA,0,14,5,1,6,4,3,1,1,BotB,0,14,3,0,2,2,6,6,4
8,2026-04-22 14:18:58,58,BotA,15,9,6,BotA,0,15,4,0,7,2,3,0,5,BotB,0,16,2,0,3,6,3,2,3
9,2026-04-22 14:18:59,56,BotA,15,3,12,BotA,0,15,3,1,6,1,7,1,1,BotB,0,16,0,0,3,1,5,4,9
10,2026-04-22 14:18:59,55,BotB,16,4,12,BotA,0,15,2,0,0,4,3,3,6,BotB,0,15,2,0,1,6,4,0,5
11,2026-04-22 14:18:59,60,BotA,16,7,9,BotA,0,11,7,0,9,5,3,1,1,BotB,0,13,3,0,7,9,4,2,0
12,2026-04-22 14:18:59,60,BotA,16,12,4,BotA,0,15,4,0,1,3,7,1,6,BotB,0,14,4,0,5,2,5,2,5
13,2026-04-22 14:18:59,60,BotA,15,8,7,BotA,0,14,4,1,5,2,5,2,3,BotB,0,15,4,0,3,4,1,3,6
14,2026-04-22 14:18:59,66,BotA,16,12,4,BotA,0,18,4,0,3,3,4,3,1,BotB,0,18,3,0,5,5,3,3,2
15,2026-04-22 14:18:59,55,BotB,18,13,5,BotA,0,15,4,1,8,1,3,0,3,BotB,0,13,4,1,1,7,4,2,3
16,2026-04-22 14:18:59,62,BotA,18,7,11,BotA,0,15,4,0,4,3,3,7,3,BotB,0,14,4,0,5,5,7,3,2
17,2026-04-22 14:18:59,66,BotA,15,8,7,BotA,0,13,8,0,4,2,6,5,6,BotB,0,15,2,0,5,0,3,6,9
18,2026-04-22 14:18:59,54,BotA,16,6,10,BotA,0,10,6,0,5,2,4,2,7,BotB,0,15,0,0,4,5,7,0,4
19,2026-04-22 14:18:59,54,BotA,15,12,3,BotA,0,15,5,0,2,2,2,2,5,BotB,0,14,4,0,4,3,4,5,1
20,2026-04-22 14:18:59,59,BotB,16,10,6,BotA,0,17,1,1,2,5,5,3,3,BotB,0,13,3,1,3,4,2,5,4
21,2026-04-22 14:18:59,60,BotA,15,8,7,BotA,0,16,3,0,1,4,4,3,5,BotB,0,11,4,0,2,5,7,5,4
22,2026-04-22 14:18:59,58,BotA,15,11,4,BotA,0,14,4,0,3,0,2,3,11,BotB,0,13,4,0,3,6,7,5,1
23,2026-04-22 14:18:59,60,BotA,15,14,1,BotA,0,13,4,1,6,7,3,3,0,BotB,0,13,7,0,3,4,5,1,4
24,2026-04-22 14:18:59,59,BotA,16,15,1,BotA,0,16,4,1,5,1,4,2,3,BotB,0,12,6,0,2,5,5,4,2
25,2026-04-22 14:18:59,60,BotA,16,5,11,BotA,0,14,4,0,2,5,8,4,0,BotB,0,17,1,0,5,8,2,1,4
26,2026-04-22 14:18:59,60,BotA,20,11,9,BotA,0,13,5,1,7,2,1,0,7,BotB,0,15,4,1,2,5,2,4,4
27,2026-04-22 14:18:59,60,BotA,20,7,13,BotA,0,17,3,0,7,2,2,2,4,BotB,0,13,3,0,9,1,1,2,8
28,2026-04-22 14:18:59,60,BotA,17,14,3,BotA,0,15,4,1,3,5,4,2,3,BotB,0,14,4,0,2,3,5,9,2
29,2026-04-22 14:18:59,60,BotA,17,9,8,BotA,0,17,3,1,6,2,0,6,3,BotB,0,16,2,0,3,5,3,3,6
30,2026-04-22 14:18:59,60,BotA,17,15,2,BotA,0,15,4,1,5,6,0,2,5,BotB,0,13,5,0,6,2,3,4,5
31,2026-04-22 14:18:59,63,BotB,15,15,0,BotA,0,17,4,0,1,3,10,2,1,BotB,0,13,6,0,4,3,7,6,0
32,2026-04-22 14:18:59,61,BotA,16,16,0,BotA,0,13,9,0,5,1,1,5,3,BotB,0,18,4,0,4,5,2,1,2
33,2026-04-22 14:18:59,65,BotB,20,11,9,BotA,0,16,5,0,12,3,2,2,1,BotB,0,15,5,0,4,4,3,1,5
34,2026-04-22 14:18:59,63,BotB,19,14,5,BotA,0,14,7,0,1,6,4,0,6,BotB,0,16,3,0,4,3,9,2,2
35,2026-04-22 14:18:59,72,BotA,16,9,7,BotA,0,16,4,0,3,6,5,7,0,BotB,0,16,4,0,5,10,7,2,1
36,2026-04-22 14:18:59,56,BotA,16,13,3,BotA,0,13,5,0,3,0,6,1,6,BotB,0,12,5,0,6,4,3,3,2
37,2026-04-22 14:18:59,58,BotA,15,12,3,BotA,0,12,4,0,1,2,5,6,6,BotB,0,12,5,0,2,3,8,3,6
38,2026-04-22 14:18:59,59,BotB,15,7,8,BotA,0,13,3,0,3,5,8,6,3,BotB,0,11,5,0,5,3,2,4,5
39,2026-04-22 14:18:59,60,BotA,17,14,3,BotA,0,13,5,0,4,3,5,2,3,BotB,0,14,6,0,2,6,2,4,2
40,2026-04-22 14:18:59,53,BotB,15,6,9,BotA,0,14,2,0,5,5,4,1,3,BotB,0,14,4,0,3,4,6,2,0
41,2026-04-22 14:18:59,64,BotA,17,14,3,BotA,0,15,5,1,4,3,3,3,5,BotB,0,13,5,0,1,7,5,5,2
42,2026-04-22 14:18:59,54,BotA,19,6,13,BotA,0,10,7,0,6,2,1,4,3,BotB,0,15,2,0,2,6,3,3,4
43,2026-04-22 14:18:59,58,BotA,17,8,9,BotA,0,13,6,0,2,6,5,4,1,BotB,0,15,3,0,3,6,5,0,3
44,2026-04-22 14:18:59,62,BotA,17,2,15,BotA,0,18,3,0,7,4,0,1,6,BotB,0,15,1,0,6,7,7,4,2
45,2026-04-22 14:18:59,58,BotA,16,15,1,BotA,0,10,8,0,2,2,6,6,1,BotB,0,16,4,0,5,3,3,2,4
46,2026-04-22 14:18:59,62,BotB,17,15,2,BotA,0,14,5,0,6,3,1,2,7,BotB,0,14,7,0,4,3,7,2,2
47,2026-04-22 14:18:59,59,BotB,15,10,5,BotA,0,13,4,0,5,2,4,5,5,BotB,0,14,4,0,2,3,3,5,6
48,2026-04-22 14:18:59,60,BotA,16,4,12,BotA,0,17,4,0,3,4,3,2,4,BotB,0,13,2,0,4,7,10,3,1
49,2026-04-22 14:18:59,57,BotB,15,6,9,BotA,0,10,3,0,5,7,4,4,2,BotB,0,14,3,0,3,3,3,4,3
50,2026-04-22 14:18:59,58,BotA,15,5,10,BotA,0,16,3,0,1,2,2,7,3,BotB,0,17,1,0,5,3,5,3,2
51,2026-04-22 14:18:59,59,BotB,16,16,0,BotA,0,15,5,1,5,4,1,2,3,BotB,0,13,6,0,3,1,5,3,5
52,2026-04-22 14:18:59,60,BotA,17,13,4,BotA,0,15,4,1,3,4,1,8,1,BotB,0,16,3,0,1,4,3,3,5
53,2026-04-22 14:18:59,59,BotB,15,3,12,BotA,0,13,1,0,1,12,6,3,2,BotB,0,11,5,0,3,12,3,4,2
54,2026-04-22 14:18:59,55,BotB,16,15,1,BotA,0,12,6,0,1,1,6,7,0,BotB,0,13,5,0,1,4,4,3,3
55,2026-04-22 14:18:59,65,BotB,17,16,1,BotA,0,16,5,1,2,3,9,1,3,BotB,0,15,4,1,2,2,6,7,3
56,2026-04-22 14:18:59,63,BotB,18,14,4,BotA,0,14,5,0,6,7,0,3,6,BotB,0,13,7,0,7,2,0,4,6
57,2026-04-22 14:18:59,57,BotB,17,13,4,BotA,0,15,5,0,2,2,6,3,3,BotB,0,13,6,0,3,5,4,0,3
58,2026-04-22 14:18:59,55,BotB,16,6,10,BotA,0,15,2,0,4,4,3,5,1,BotB,0,17,2,0,4,5,2,2,2
59,2026-04-22 14:18:59,56,BotA,17,6,11,BotA,0,15,3,0,1,0,6,0,6,BotB,0,14,2,0,3,5,5,4,3
60,2026-04-22 14:18:59,57,BotB,18,14,4,BotA,0,12,7,0,4,4,2,3,4,BotB,0,14,5,1,2,2,5,6,0
61,2026-04-22 14:18:59,63,BotB,18,16,2,BotA,0,16,4,0,1,1,4,6,6,BotB,0,14,4,1,4,5,7,2,2
62,2026-04-22 14:18:59,65,BotB,15,7,8,BotA,0,14,3,0,6,9,9,0,2,BotB,0,16,2,1,6,6,3,1,2
63,2026-04-22 14:18:59,58,BotA,16,10,6,BotA,0,13,7,0,5,2,6,1,1,BotB,0,12,5,0,8,3,5,0,4
64,2026-04-22 14:18:59,62,BotB,16,15,1,BotA,0,12,6,0,5,0,4,4,8,BotB,0,15,6,0,2,1,4,3,8
65,2026-04-22 14:18:59,61,BotB,15,14,1,BotA,0,13,6,0,9,1,0,2,10,BotB,0,11,6,0,5,7,0,4,4
66,2026-04-22 14:18:59,64,BotA,15,13,2,BotA,0,15,5,0,9,2,3,1,4,BotB,0,16,5,0,5,3,3,2,4
67,2026-04-22 14:18:59,66,BotB,15,15,0,BotA,0,14,7,0,7,2,5,4,3,BotB,0,12,6,0,8,1,3,3,7
68,2026-04-22 14:18:59,58,BotA,15,12,3,BotA,0,13,7,0,5,4,1,2,3,BotB,0,13,4,0,3,4,5,2,6
69,2026-04-22 14:18:59,54,BotA,15,12,3,BotA,0,13,4,1,3,5,4,1,4,BotB,0,14,2,0,4,3,2,3,6
70,2026-04-22 14:18:59,63,BotB,15,10,5,BotA,0,13,5,0,5,5,7,0,8,BotB,0,13,5,0,1,7,5,0,7
71,2026-04-22 14:18:59,54,BotA,15,12,3,BotA,0,15,4,0,3,2,2,5,3,BotB,0,13,4,0,1,6,3,3,6
72,2026-04-22 14:18:59,54,BotA,16,7,9,BotA,0,15,4,0,4,1,6,1,3,BotB,0,15,2,0,3,3,6,1,5
73,2026-04-22 14:18:59,62,BotB,16,15,1,BotA,0,16,4,0,3,5,1,4,4,BotB,0,16,5,0,2,1,5,6,6
74,2026-04-22 14:18:59,59,BotB,18,12,6,BotA,0,10,5,0,7,2,6,5,7,BotB,0,11,8,0,2,3,7,3,1
75,2026-04-22 14:18:59,64,BotB,16,16,0,BotA,0,13,6,1,3,3,7,2,3,BotB,0,12,7,0,3,4,11,3,1
76,2026-04-22 14:18:59,57,BotB,15,12,3,BotA,0,14,5,0,4,4,3,3,3,BotB,0,15,4,0,4,6,4,1,3
77,2026-04-22 14:18:59,54,BotA,15,5,10,BotA,0,14,3,0,2,4,5,5,5,BotB,0,13,3,0,1,3,3,3,11
78,2026-04-22 14:18:59,54,BotA,17,9,8,BotA,0,12,5,0,4,2,2,1,8,BotB,0,11,4,0,6,3,3,3,6
79,2026-04-22 14:18:59,65,BotB,16,5,11,BotA,0,17,1,0,8,3,8,0,4,BotB,0,13,6,0,5,3,8,3,2
80,2026-04-22 14:18:59,56,BotA,15,12,3,BotA,0,10,7,0,6,3,3,5,6,BotB,0,14,2,0,7,1,4,3,6
81,2026-04-22 14:18:59,66,BotA,17,14,3,BotA,0,16,6,0,9,2,4,2,2,BotB,0,18,5,0,4,5,2,2,4
82,2026-04-22 14:18:59,62,BotA,15,13,2,BotA,0,12,5,0,5,1,4,2,8,BotB,0,14,5,0,1,6,5,4,5
83,2026-04-22 14:18:59,60,BotB,15,15,0,BotA,0,13,6,0,5,5,1,2,5,BotB,0,11,7,0,5,3,7,2,2
84,2026-04-22 14:18:59,57,BotB,17,15,2,BotA,0,12,6,0,6,3,5,4,0,BotB,0,11,6,0,4,5,3,2,6
85,2026-04-22 14:18:59,54,BotA,15,5,10,BotA,0,12,4,0,4,5,7,1,2,BotB,0,14,1,0,0,11,4,0,2
86,2026-04-22 14:18:59,59,BotB,16,14,2,BotA,0,13,5,0,2,5,7,6,0,BotB,0,17,2,1,2,4,5,1,1
87,2026-04-22 14:18:59,63,BotB,16,12,4,BotA,0,13,5,0,4,0,9,7,2,BotB,0,15,5,0,2,0,7,7,1
88,2026-04-22 14:18:59,64,BotA,15,14,1,BotA,0,15,5,0,6,2,3,3,4,BotB,0,13,7,0,4,6,3,3,1
89,2026-04-22 14:18:59,64,BotA,15,12,3,BotA,0,18,3,0,5,4,5,3,3,BotB,0,15,4,0,7,1,6,4,4
90,2026-04-22 14:18:59,60,BotB,15,15,0,BotA,0,14,6,0,4,3,2,3,4,BotB,0,14,4,0,4,5,3,3,5
91,2026-04-22 14:18:59,60,BotA,15,13,2,BotA,0,13,5,0,3,3,8,4,1,BotB,0,10,6,0,6,7,3,2,5
92,2026-04-22 14:18:59,56,BotA,15,4,11,BotA,0,13,4,0,8,2,4,0,3,BotB,0,13,1,0,11,3,5,5,1
93,2026-04-22 14:18:59,58,BotA,16,6,10,BotA,0,13,5,0,2,4,4,2,5,BotB,0,15,2,0,5,3,5,4,2
94,2026-04-22 14:18:59,58,BotA,15,11,4,BotA,0,12,6,0,12,1,2,4,1,BotB,0,13,4,0,1,5,8,2,3
